checkpoint,step,task,accuracy,centered
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,hellaswag_zeroshot,0.334000,0.112000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,jeopardy,0.002000,0.002000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,bigbench_qa_wikidata,0.216000,0.216000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,arc_easy,0.520000,0.360000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,arc_challenge,0.270000,0.026667
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,copa,0.510000,0.020000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,commonsense_qa,0.348000,0.185000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,piqa,0.658000,0.316000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,openbook_qa,0.288000,0.050667
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,lambada_openai,0.268000,0.268000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,hellaswag,0.328000,0.104000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,winograd,0.556777,0.113553
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,winogrande,0.504000,0.008000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,bigbench_dyck_languages,0.018000,0.018000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,agi_eval_lsat_ar,0.230435,0.038043
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,bigbench_cs_algorithms,0.452000,0.452000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,bigbench_operators,0.100000,0.100000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,bigbench_repeat_copy_logic,0.000000,0.000000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,squad,0.140000,0.140000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,coqa,0.158000,0.158000
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,boolq,0.550000,-0.184210
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,bigbench_language_identification,0.272000,0.199120
/root/nanochat/out/sweep_p29/29C_CHUNK64_BASELINE_D8/depth_8/ckpt_remixed-linear/remixed-linear,7699,CORE,,0.122856
